Method,Group,Accuracy,Sensitivity,Specificity,F1-Score,AUC,Threshold
Level: 1,B-Level,0.9499999999999525,0.89999999999991,0.9999999999999,0.9473684210520332,0.97,71.11111111111111
Wavelet: haar,A-Wavelet,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.92,16.333333333333332
Level: 2,B-Level,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.92,16.333333333333332
Quant: median,C-Quant,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.92,16.333333333333332
Subband: LL,D-Subband,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.92,16.333333333333332
Wavelet: sym2,A-Wavelet,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.9,18.0
Wavelet: db2,A-Wavelet,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.9,18.0
Wavelet: db4,A-Wavelet,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.9,31.91919191919192
Level: 3,B-Level,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.9,20.09090909090909
Quant: mean,C-Quant,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.9,17.666666666666664
Subband: ALL,D-Subband,0.8999999999999551,0.79999999999992,0.9999999999999,0.8888888888882962,0.8500000000000001,53.323232323232325
Subband: LL_LH,D-Subband,0.7999999999999601,0.69999999999993,0.89999999999991,0.7777777777771975,0.77,1.3636363636363635
